CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST1087,186.0,15,29383.0,2,4,3,243,Regular
CUST1088,337.0,5,19855.22,1,1,1,111,Low Value
CUST1089,63.0,18,48140.08,4,4,4,444,VIP
CUST1090,366.0,12,29734.71,1,3,3,133,Low Value
CUST1091,216.0,16,42646.25,2,4,4,244,Regular
CUST1092,160.0,11,27094.210000000003,2,2,2,222,Regular
CUST1093,6.0,8,20312.940000000002,4,1,1,411,At Risk
CUST1094,125.0,12,28596.03,3,3,3,333,VIP
CUST1095,220.0,8,19743.9,2,1,1,211,At Risk
CUST1096,8.0,17,36647.44,4,4,4,444,VIP
CUST1097,33.0,2,4112.03,4,1,1,411,At Risk
CUST1098,493.0,11,24832.059999999998,1,2,2,122,Low Value
CUST1099,3.0,16,43282.619999999995,4,4,4,444,VIP
CUST1100,7.0,8,17593.84,4,1,1,411,At Risk
CUST1101,160.0,13,19899.95,2,3,1,231,Regular
CUST1102,31.0,13,28058.57,4,3,3,433,VIP
CUST1103,67.0,13,32881.92,3,3,3,333,VIP
CUST1104,37.0,12,27800.53,4,3,3,433,VIP
CUST1105,160.0,8,18918.81,2,1,1,211,At Risk
CUST1106,65.0,17,50246.17,3,4,4,344,VIP
CUST1107,38.0,8,9688.32,4,1,1,411,At Risk
CUST1108,156.0,17,46764.1,3,4,4,344,VIP
CUST1109,66.0,9,27071.73,3,1,2,312,At Risk
CUST1110,97.0,15,53200.130000000005,3,4,4,344,VIP
CUST1111,32.0,9,22868.0,4,1,2,412,At Risk
CUST1112,704.0,6,11850.279999999999,1,1,1,111,Low Value
CUST1113,64.0,9,15996.71,4,1,1,411,At Risk
CUST1114,35.0,12,31835.48,4,3,3,433,VIP
CUST1115,363.0,11,19227.04,1,2,1,121,Low Value
CUST1116,339.0,13,39837.64,1,3,4,134,Low Value
CUST1117,8.0,8,17980.739999999998,4,1,1,411,At Risk
CUST1118,340.0,20,37478.75,1,4,4,144,Low Value
CUST1119,130.0,10,21094.379999999997,3,2,2,322,Loyal
CUST1120,130.0,15,32506.46,3,4,3,343,VIP
CUST1121,4.0,8,19032.66,4,1,1,411,At Risk
CUST1122,32.0,14,35640.07,4,4,4,444,VIP
CUST1123,158.0,18,34735.159999999996,3,4,3,343,VIP
CUST1124,427.0,9,29504.46,1,1,3,113,Low Value
CUST1125,69.0,8,26062.120000000003,3,1,2,312,At Risk
CUST1126,283.0,2,3110.01,2,1,1,211,At Risk
CUST1127,98.0,12,28713.38,3,3,3,333,VIP
CUST1128,37.0,11,29063.7,4,2,3,423,Loyal
CUST1129,276.0,15,24093.6,2,4,2,242,Regular
CUST1130,155.0,9,37483.840000000004,3,1,4,314,At Risk
CUST1131,608.0,9,25063.8,1,1,2,112,Low Value
CUST1132,1.0,15,40382.21,4,4,4,444,VIP
CUST1133,427.0,9,25095.87,1,1,2,112,Low Value
CUST1134,425.0,9,23519.11,1,1,2,112,Low Value
CUST1135,214.0,11,30112.39,2,2,3,223,Regular
CUST1136,251.0,9,19742.8,2,1,1,211,At Risk
CUST1137,36.0,14,28841.23,4,4,3,443,VIP
CUST1138,68.0,15,30877.27,3,4,3,343,VIP
CUST1139,128.0,16,56566.41,3,4,4,344,VIP
CUST1140,62.0,15,36756.18,4,4,4,444,VIP
CUST1141,485.0,7,14729.679999999998,1,1,1,111,Low Value
CUST1142,191.0,12,29705.02,2,3,3,233,Regular
CUST1143,2.0,13,13346.19,4,3,1,431,Loyal
CUST1144,434.0,10,23106.510000000002,1,2,2,122,Low Value
CUST1145,393.0,9,12465.86,1,1,1,111,Low Value
CUST1146,129.0,10,12950.3,3,2,1,321,Loyal
CUST1147,123.0,4,5892.63,3,1,1,311,At Risk
CUST1148,458.0,10,29865.14,1,2,3,123,Low Value
CUST1149,366.0,11,16642.81,1,2,1,121,Low Value
CUST1150,130.0,15,39804.1,3,4,4,344,VIP
CUST1151,311.0,11,37732.020000000004,1,2,4,124,Low Value
CUST1152,4.0,13,34586.68,4,3,3,433,VIP
CUST1153,701.0,9,24670.5,1,1,2,112,Low Value
CUST1154,549.0,12,34833.83,1,3,3,133,Low Value
CUST1155,248.0,12,31567.059999999998,2,3,3,233,Regular
CUST1156,459.0,10,28192.2,1,2,3,123,Low Value
CUST1157,99.0,19,45976.13,3,4,4,344,VIP
CUST1158,35.0,11,27027.77,4,2,2,422,Loyal
CUST1159,160.0,14,46894.36,2,4,4,244,Regular
CUST1160,31.0,13,27851.43,4,3,3,433,VIP
CUST1161,310.0,10,29424.05,1,2,3,123,Low Value
CUST1162,1063.0,3,7579.030000000001,1,1,1,111,Low Value
CUST1163,65.0,9,16794.3,3,1,1,311,At Risk
CUST1164,37.0,21,56457.98,4,4,4,444,VIP
CUST1165,6.0,11,32731.59,4,2,3,423,Loyal
CUST1166,189.0,14,42322.53,2,4,4,244,Regular
CUST1167,126.0,11,23606.5,3,2,2,322,Loyal
CUST1168,8.0,10,25753.66,4,2,2,422,Loyal
CUST1169,96.0,8,24590.92,3,1,2,312,At Risk
CUST1170,392.0,13,34671.490000000005,1,3,3,133,Low Value
CUST1171,335.0,11,38464.32,1,2,4,124,Low Value
CUST1172,247.0,9,20664.2,2,1,2,212,At Risk
CUST1173,190.0,15,37885.71,2,4,4,244,Regular
CUST1174,191.0,7,12476.05,2,1,1,211,At Risk
CUST1175,160.0,12,27784.63,2,3,3,233,Regular
CUST1176,66.0,14,27286.09,3,4,2,342,Loyal
CUST1177,283.0,4,7003.33,2,1,1,211,At Risk
CUST1178,189.0,15,44205.39,2,4,4,244,Regular
CUST1179,220.0,7,22613.14,2,1,2,212,At Risk
CUST1180,433.0,6,29483.65,1,1,3,113,Low Value
CUST1181,402.0,5,15841.39,1,1,1,111,Low Value
CUST1182,62.0,5,13453.08,4,1,1,411,At Risk
CUST1183,393.0,8,21606.9,1,1,2,112,Low Value
CUST1184,33.0,12,28870.81,4,3,3,433,VIP
CUST1185,158.0,8,13267.07,3,1,1,311,At Risk
CUST1186,852.0,4,1662.3,1,1,1,111,Low Value
CUST1187,275.0,9,16564.28,2,1,1,211,At Risk
CUST1188,250.0,11,24719.559999999998,2,2,2,222,Regular
CUST1189,184.0,10,36366.04,2,2,4,224,Regular
CUST1190,67.0,15,49682.18,3,4,4,344,VIP
CUST1191,6.0,13,29933.31,4,3,3,433,VIP
CUST1192,129.0,15,32389.57,3,4,3,343,VIP
CUST1193,6.0,14,38265.05,4,4,4,444,VIP
CUST1194,95.0,12,31261.8,3,3,3,333,VIP
CUST1195,159.0,8,20123.550000000003,2,1,1,211,At Risk
CUST1196,942.0,2,6790.44,1,1,1,111,Low Value
CUST1197,429.0,10,27347.11,1,2,2,122,Low Value
CUST1198,214.0,13,34270.35,2,3,3,233,Regular
CUST1199,34.0,12,44899.340000000004,4,3,4,434,VIP
CUST1200,8.0,10,26065.760000000002,4,2,2,422,Loyal
CUST1201,33.0,13,31262.05,4,3,3,433,VIP
CUST1202,34.0,18,45211.15,4,4,4,444,VIP
CUST1203,518.0,9,24514.19,1,1,2,112,Low Value
CUST1204,92.0,6,13886.24,3,1,1,311,At Risk
CUST1205,189.0,12,25390.28,2,3,2,232,Regular
CUST1206,124.0,6,20406.7,3,1,1,311,At Risk
CUST1207,130.0,10,33568.54,3,2,3,323,Loyal
CUST1208,6.0,12,30776.32,4,3,3,433,VIP
CUST1209,246.0,20,46774.81,2,4,4,244,Regular
CUST1210,188.0,15,35726.61,2,4,4,244,Regular
CUST1211,189.0,12,37857.93,2,3,4,234,Regular
CUST1212,221.0,12,45714.7,2,3,4,234,Regular
CUST1213,158.0,10,21400.83,3,2,2,322,Loyal
CUST1214,3.0,11,48548.06,4,2,4,424,Loyal
CUST1215,275.0,6,13399.76,2,1,1,211,At Risk
CUST1216,247.0,11,23716.59,2,2,2,222,Regular
CUST1217,402.0,9,16978.85,1,1,1,111,Low Value
CUST1218,453.0,4,7588.8099999999995,1,1,1,111,Low Value
CUST1219,65.0,18,65640.6,3,4,4,344,VIP
CUST1220,35.0,12,23791.399999999998,4,3,2,432,Loyal
CUST1221,305.0,8,31907.58,2,1,3,213,At Risk
CUST1222,158.0,7,12048.0,3,1,1,311,At Risk
CUST1223,282.0,10,21124.07,2,2,2,222,Regular
CUST1224,362.0,12,23193.36,1,3,2,132,Low Value
CUST1225,157.0,7,24718.1,3,1,2,312,At Risk
CUST1226,96.0,14,24360.77,3,4,2,342,Loyal
CUST1227,279.0,9,27319.54,2,1,2,212,At Risk
CUST1228,252.0,8,29223.78,2,1,3,213,At Risk
CUST1229,308.0,9,28676.11,1,1,3,113,Low Value
CUST1230,68.0,11,22758.19,3,2,2,322,Loyal
CUST1231,129.0,12,24403.61,3,3,2,332,Loyal
CUST1232,492.0,13,29424.8,1,3,3,133,Low Value
CUST1233,214.0,8,20473.75,2,1,2,212,At Risk
CUST1234,547.0,13,28167.29,1,3,3,133,Low Value
CUST1235,94.0,11,33143.62,3,2,3,323,Loyal
CUST1236,430.0,13,34836.04,1,3,3,133,Low Value
CUST1237,130.0,12,30690.1,3,3,3,333,VIP
CUST1238,31.0,14,15738.7,4,4,1,441,Loyal
CUST1239,159.0,9,22257.09,2,1,2,212,At Risk
CUST1240,188.0,11,22246.84,2,2,2,222,Regular
CUST1241,248.0,10,17171.49,2,2,1,221,Regular
CUST1242,278.0,7,12719.83,2,1,1,211,At Risk
CUST1243,158.0,9,28767.35,3,1,3,313,At Risk
CUST1244,372.0,8,20958.92,1,1,2,112,Low Value
CUST1245,551.0,7,28503.1,1,1,3,113,Low Value
CUST1246,3.0,15,38878.93,4,4,4,444,VIP
CUST1247,311.0,9,28815.41,1,1,3,113,Low Value
CUST1248,8.0,11,32185.98,4,2,3,423,Loyal
CUST1249,462.0,13,22225.18,1,3,2,132,Low Value
CUST1250,587.0,7,8917.78,1,1,1,111,Low Value
CUST1251,464.0,13,19436.79,1,3,1,131,Low Value
CUST1252,38.0,11,31843.61,4,2,3,423,Loyal
CUST1253,156.0,13,24591.42,3,3,2,332,Loyal
CUST1254,521.0,3,12869.68,1,1,1,111,Low Value
CUST1255,63.0,13,23131.4,4,3,2,432,Loyal
CUST1256,7.0,8,33130.79,4,1,3,413,At Risk
CUST1257,303.0,12,36177.65,2,3,4,234,Regular
CUST1258,68.0,13,20980.39,3,3,2,332,Loyal
CUST1259,62.0,15,46261.93,4,4,4,444,VIP
CUST1260,6.0,11,23352.54,4,2,2,422,Loyal
CUST1261,364.0,8,15989.98,1,1,1,111,Low Value
CUST1262,1.0,15,39860.22,4,4,4,444,VIP
CUST1263,307.0,10,40265.43,1,2,4,124,Low Value
CUST1264,4.0,14,22187.670000000002,4,4,2,442,Loyal
CUST1265,307.0,18,39437.71,1,4,4,144,Low Value
CUST1266,494.0,7,25543.16,1,1,2,112,Low Value
CUST1267,32.0,11,21535.15,4,2,2,422,Loyal
CUST1268,34.0,8,8359.43,4,1,1,411,At Risk
CUST1269,336.0,21,49968.08,1,4,4,144,Low Value
CUST1270,129.0,10,16075.88,3,2,1,321,Loyal
CUST1271,551.0,9,14662.77,1,1,1,111,Low Value
CUST1272,7.0,12,20326.91,4,3,1,431,Loyal
CUST1273,187.0,10,26608.29,2,2,2,222,Regular
CUST1274,63.0,12,35600.56,4,3,4,434,VIP
CUST1275,248.0,6,19537.8,2,1,1,211,At Risk
CUST1276,216.0,17,39691.43,2,4,4,244,Regular
CUST1277,3.0,10,32943.99,4,2,3,423,Loyal
CUST1278,158.0,8,24960.39,3,1,2,312,At Risk
CUST1279,2.0,9,16435.02,4,1,1,411,At Risk
CUST1280,583.0,11,30990.99,1,2,3,123,Low Value
CUST1281,95.0,9,25616.52,3,1,2,312,At Risk
CUST1282,339.0,11,42067.85,1,2,4,124,Low Value
CUST1283,6.0,13,34816.95,4,3,3,433,VIP
CUST1284,369.0,12,29039.07,1,3,3,133,Low Value
CUST1285,36.0,10,18793.02,4,2,1,421,Loyal
CUST1286,252.0,7,11178.76,2,1,1,211,At Risk
CUST1287,4.0,15,43752.5,4,4,4,444,VIP
CUST1288,155.0,8,17284.01,3,1,1,311,At Risk
CUST1289,99.0,15,36469.11,3,4,4,344,VIP
CUST1290,218.0,9,10872.4,2,1,1,211,At Risk
CUST1291,190.0,10,15909.050000000001,2,2,1,221,Regular
CUST1292,362.0,15,17229.81,1,4,1,141,Low Value
CUST1293,484.0,8,23627.89,1,1,2,112,Low Value
CUST1294,673.0,6,18657.66,1,1,1,111,Low Value
CUST1295,219.0,9,25359.05,2,1,2,212,At Risk
CUST1296,220.0,13,38210.06,2,3,4,234,Regular
CUST1297,188.0,17,40753.909999999996,2,4,4,244,Regular
CUST1298,123.0,11,53714.37,3,2,4,324,Loyal
CUST1299,525.0,5,11981.0,1,1,1,111,Low Value
CUST1300,400.0,7,15455.39,1,1,1,111,Low Value
CUST1301,303.0,4,2716.54,2,1,1,211,At Risk
CUST1302,362.0,9,14807.869999999999,1,1,1,111,Low Value
CUST1303,65.0,17,43645.46,3,4,4,344,VIP
CUST1304,94.0,17,38413.09,3,4,4,344,VIP
CUST1305,365.0,7,23396.3,1,1,2,112,Low Value
CUST1306,68.0,14,31003.83,3,4,3,343,VIP
CUST1307,913.0,6,11218.3,1,1,1,111,Low Value
CUST1308,398.0,6,7643.25,1,1,1,111,Low Value
CUST1309,338.0,9,19999.92,1,1,1,111,Low Value
CUST1310,35.0,11,18359.07,4,2,1,421,Loyal
CUST1311,342.0,14,39519.39,1,4,4,144,Low Value
CUST1312,92.0,11,30054.17,3,2,3,323,Loyal
CUST1313,38.0,8,25629.89,4,1,2,412,At Risk
CUST1314,217.0,7,24521.86,2,1,2,212,At Risk
CUST1315,8.0,15,34417.98,4,4,3,443,VIP
CUST1316,69.0,12,29275.87,3,3,3,333,VIP
CUST1317,519.0,13,28421.54,1,3,3,133,Low Value
CUST1318,491.0,11,37504.49,1,2,4,124,Low Value
CUST1319,4.0,14,45102.05,4,4,4,444,VIP
CUST1320,128.0,11,32009.59,3,2,3,323,Loyal
CUST1321,35.0,13,30757.33,4,3,3,433,VIP
CUST1322,96.0,17,43085.270000000004,3,4,4,344,VIP
CUST1323,365.0,5,14084.87,1,1,1,111,Low Value
CUST1324,128.0,16,38015.32,3,4,4,344,VIP
CUST1325,399.0,9,26711.15,1,1,2,112,Low Value
CUST1326,244.0,11,24631.75,2,2,2,222,Regular
CUST1327,125.0,3,6603.13,3,1,1,311,At Risk
CUST1328,4.0,18,57752.46,4,4,4,444,VIP
CUST1329,155.0,11,29481.1,3,2,3,323,Loyal
CUST1330,214.0,7,15524.27,2,1,1,211,At Risk
CUST1331,5.0,12,17458.21,4,3,1,431,Loyal
CUST1332,157.0,16,40037.01,3,4,4,344,VIP
CUST1333,34.0,10,35663.08,4,2,4,424,Loyal
CUST1334,127.0,10,18790.67,3,2,1,321,Loyal
CUST1335,65.0,3,15493.439999999999,3,1,1,311,At Risk
CUST1336,6.0,12,33332.96,4,3,3,433,VIP
CUST1337,158.0,7,21141.440000000002,3,1,2,312,At Risk
CUST1338,217.0,15,39892.04,2,4,4,244,Regular
CUST1339,366.0,8,21950.79,1,1,2,112,Low Value
CUST1340,277.0,7,10502.84,2,1,1,211,At Risk
CUST1341,547.0,12,27097.809999999998,1,3,2,132,Low Value
CUST1342,64.0,13,27653.27,4,3,3,433,VIP
CUST1343,96.0,10,35445.17,3,2,4,324,Loyal
CUST1344,556.0,7,5626.71,1,1,1,111,Low Value
CUST1345,373.0,7,22514.8,1,1,2,112,Low Value
CUST1346,66.0,10,20219.39,3,2,1,321,Loyal
CUST1347,8.0,10,16610.829999999998,4,2,1,421,Loyal
CUST1348,190.0,7,18716.670000000002,2,1,1,211,At Risk
CUST1349,62.0,8,25338.690000000002,4,1,2,412,At Risk
CUST1350,31.0,16,26997.22,4,4,2,442,Loyal
CUST1351,66.0,9,22620.81,3,1,2,312,At Risk
CUST1352,760.0,6,14843.41,1,1,1,111,Low Value
CUST1353,221.0,4,9813.550000000001,2,1,1,211,At Risk
CUST1354,188.0,7,12886.11,2,1,1,211,At Risk
CUST1355,215.0,13,40755.53,2,3,4,234,Regular
CUST1356,128.0,9,14858.56,3,1,1,311,At Risk
CUST1357,4.0,14,27408.64,4,4,3,443,VIP
CUST1358,98.0,9,14813.53,3,1,1,311,At Risk
CUST1359,487.0,11,39312.67,1,2,4,124,Low Value
CUST1360,128.0,12,27039.43,3,3,2,332,Loyal
CUST1361,126.0,13,32920.4,3,3,3,333,VIP
CUST1362,218.0,6,14716.56,2,1,1,211,At Risk
CUST1363,553.0,8,23522.94,1,1,2,112,Low Value
CUST1364,545.0,8,26119.43,1,1,2,112,Low Value
CUST1365,35.0,19,47711.23,4,4,4,444,VIP
CUST1366,94.0,14,28497.18,3,4,3,343,VIP
CUST1367,183.0,6,14243.630000000001,2,1,1,211,At Risk
CUST1368,130.0,8,23940.33,3,1,2,312,At Risk
CUST1369,7.0,13,40431.2,4,3,4,434,VIP
CUST1370,92.0,7,10312.82,3,1,1,311,At Risk
CUST1371,37.0,16,32190.18,4,4,3,443,VIP
CUST1372,6.0,9,12251.98,4,1,1,411,At Risk
CUST1373,221.0,16,38658.04,2,4,4,244,Regular
CUST1374,124.0,14,31425.27,3,4,3,343,VIP
CUST1375,94.0,7,10812.57,3,1,1,311,At Risk
CUST1376,244.0,16,47612.299999999996,2,4,4,244,Regular
CUST1377,310.0,16,45839.63,1,4,4,144,Low Value
CUST1378,214.0,13,30596.92,2,3,3,233,Regular
CUST1379,215.0,14,44022.979999999996,2,4,4,244,Regular
CUST1380,518.0,9,27704.63,1,1,3,113,Low Value
CUST1381,126.0,12,21007.88,3,3,2,332,Loyal
CUST1382,93.0,12,18515.82,3,3,1,331,Loyal
CUST1383,585.0,8,20408.55,1,1,1,111,Low Value
CUST1384,34.0,8,12703.33,4,1,1,411,At Risk
CUST1386,37.0,9,22558.71,4,1,2,412,At Risk
CUST1387,526.0,8,19515.0,1,1,1,111,Low Value
CUST1388,431.0,12,29450.45,1,3,3,133,Low Value
CUST1389,280.0,11,24043.21,2,2,2,222,Regular
CUST1390,125.0,11,28240.81,3,2,3,323,Loyal
CUST1391,397.0,11,27035.7,1,2,2,122,Low Value
CUST1392,279.0,21,46103.79,2,4,4,244,Regular
CUST1393,2.0,14,28991.46,4,4,3,443,VIP
CUST1394,395.0,13,36741.35,1,3,4,134,Low Value
CUST1395,99.0,13,39805.01,3,3,4,334,VIP
CUST1396,335.0,7,16536.02,1,1,1,111,Low Value
CUST1397,221.0,12,29451.18,2,3,3,233,Regular
CUST1398,218.0,17,34736.22,2,4,3,243,Regular
CUST1399,191.0,15,54468.39,2,4,4,244,Regular
CUST1400,5.0,15,32374.78,4,4,3,443,VIP
CUST1401,38.0,12,23204.75,4,3,2,432,Loyal
CUST1402,67.0,13,27619.58,3,3,3,333,VIP
CUST1403,63.0,13,28406.39,4,3,3,433,VIP
CUST1404,188.0,13,35354.28,2,3,4,234,Regular
CUST1405,159.0,9,21056.28,2,1,2,212,At Risk
CUST1406,6.0,11,38501.94,4,2,4,424,Loyal
CUST1407,31.0,6,17863.18,4,1,1,411,At Risk
CUST1408,35.0,11,33208.67,4,2,3,423,Loyal
CUST1409,157.0,22,48068.33,3,4,4,344,VIP
CUST1410,7.0,12,39890.39,4,3,4,434,VIP
CUST1411,522.0,7,19322.92,1,1,1,111,Low Value
CUST1412,457.0,14,46014.38,1,4,4,144,Low Value
CUST1413,3.0,7,11175.99,4,1,1,411,At Risk
CUST1414,33.0,12,39536.75,4,3,4,434,VIP
CUST1415,2.0,9,37663.68,4,1,4,414,At Risk
CUST1416,32.0,9,23563.63,4,1,2,412,At Risk
CUST1417,282.0,11,31351.239999999998,2,2,3,223,Regular
CUST1418,340.0,10,16949.31,1,2,1,121,Low Value
CUST1419,221.0,13,37054.72,2,3,4,234,Regular
CUST1420,222.0,16,26288.73,2,4,2,242,Regular
CUST1421,129.0,12,28459.47,3,3,3,333,VIP
CUST1422,64.0,12,30414.77,4,3,3,433,VIP
CUST1423,362.0,11,21834.2,1,2,2,122,Low Value
CUST1424,2.0,14,31142.02,4,4,3,443,VIP
CUST1425,99.0,10,22291.21,3,2,2,322,Loyal
CUST1426,913.0,3,9199.19,1,1,1,111,Low Value
CUST1427,67.0,11,31343.050000000003,3,2,3,323,Loyal
CUST1428,66.0,11,19328.57,3,2,1,321,Loyal
CUST1429,128.0,10,29082.74,3,2,3,323,Loyal
CUST1430,98.0,16,40749.99,3,4,4,344,VIP
CUST1431,97.0,11,27608.69,3,2,3,323,Loyal
CUST1432,92.0,12,18493.79,3,3,1,331,Loyal
CUST1433,92.0,10,19357.62,3,2,1,321,Loyal
CUST1434,584.0,8,22047.010000000002,1,1,2,112,Low Value
CUST1435,219.0,14,34854.479999999996,2,4,3,243,Regular
CUST1436,278.0,13,25821.329999999998,2,3,2,232,Regular
CUST1437,185.0,8,28996.1,2,1,3,213,At Risk
CUST1438,154.0,12,31855.739999999998,3,3,3,333,VIP
CUST1439,215.0,17,44667.08,2,4,4,244,Regular
CUST1440,276.0,13,37419.8,2,3,4,234,Regular
CUST1441,398.0,17,56368.62,1,4,4,144,Low Value
CUST1442,425.0,9,22033.26,1,1,2,112,Low Value
CUST1443,278.0,15,36522.91,2,4,4,244,Regular
CUST1444,393.0,6,8831.470000000001,1,1,1,111,Low Value
CUST1445,129.0,10,25511.24,3,2,2,322,Loyal
CUST1446,576.0,8,15712.0,1,1,1,111,Low Value
CUST1447,156.0,12,30125.670000000002,3,3,3,333,VIP
CUST1448,489.0,6,27113.37,1,1,2,112,Low Value
CUST1449,464.0,10,18288.29,1,2,1,121,Low Value
CUST1450,214.0,12,36659.44,2,3,4,234,Regular
CUST1451,246.0,14,36729.659999999996,2,4,4,244,Regular
CUST1452,92.0,7,13640.880000000001,3,1,1,311,At Risk
CUST1453,187.0,6,16313.37,2,1,1,211,At Risk
CUST1454,252.0,17,41817.32,2,4,4,244,Regular
CUST1455,67.0,8,18717.64,3,1,1,311,At Risk
CUST1456,98.0,11,24162.88,3,2,2,322,Loyal
CUST1457,68.0,9,25312.129999999997,3,1,2,312,At Risk
CUST1458,672.0,8,31976.41,1,1,3,113,Low Value
CUST1459,7.0,13,40494.479999999996,4,3,4,434,VIP
CUST1460,214.0,9,26006.88,2,1,2,212,At Risk
CUST1461,217.0,14,24119.99,2,4,2,242,Regular
CUST1462,32.0,8,23588.379999999997,4,1,2,412,At Risk
CUST1463,94.0,9,21729.71,3,1,2,312,At Risk
